,Filename
0,11.636736_52.111111.jpg
1,11.731655_48.393595.jpg
2,13.704476_51.076702.jpg
3,13.70892_51.077349.jpg
4,13.733621_51.0544.jpg
5,13.733621_51.0544.jpg
6,13.733621_51.0544.jpg
7,13.733621_51.054429.jpg
8,13.733621_51.054429.jpg
9,13.733621_51.054429.jpg
10,13.73368_51.055546.jpg
11,13.73368_51.055546.jpg
12,13.733723_51.055556.jpg
13,13.73408_51.055696.jpg
14,13.73408_51.055696.jpg
15,13.734573_51.056531.jpg
16,13.734573_51.056531.jpg
17,13.734825_51.056323.jpg
18,13.735216_51.056015.jpg
19,13.735216_51.056015.jpg
20,13.735828_51.055558.jpg
21,13.735828_51.055558.jpg
22,13.735882_51.055342.jpg
23,13.735882_51.055342.jpg
24,13.735965_51.055146.jpg
25,13.735965_51.055146.jpg
26,13.735965_51.055146.jpg
27,13.735965_51.055146.jpg
28,13.735965_51.055146.jpg
29,13.736022_51.055103.jpg
30,13.736212_51.05489.jpg
31,13.736459_51.05482.jpg
32,13.736459_51.05482.jpg
33,13.736459_51.05482.jpg
34,13.736617_51.054941.jpg
35,13.736617_51.054941.jpg
36,13.736617_51.054941.jpg
37,13.736617_51.054941.jpg
38,13.737813_51.052682.jpg
39,13.737813_51.052682.jpg
40,13.739358_51.053852.jpg
41,13.739358_51.053852.jpg
42,13.742115_51.053528.jpg
43,13.742115_51.053528.jpg
44,13.742115_51.053528.jpg
45,13.744145_51.05342.jpg
46,13.745268_51.052301.jpg
47,13.745268_51.052301.jpg
48,13.746091_51.051825.jpg
49,13.746091_51.051825.jpg
50,13.746091_51.051825.jpg
51,13.746091_51.051825.jpg
52,13.746091_51.051825.jpg
53,13.746404_51.052275.jpg
54,13.746404_51.052275.jpg
55,13.746404_51.052275.jpg
56,13.747126_51.054735.jpg
57,13.747126_51.054735.jpg
58,13.747126_51.054735.jpg
59,14.355278_50.179139.jpg
60,14.363306_50.167667.jpg
61,14.3995_50.163833.jpg
62,14.399917_50.164389.jpg
63,14.407796_50.082129.jpg
64,14.407796_50.082129.jpg
65,14.407796_50.082129.jpg
66,14.407796_50.082129.jpg
67,14.407998_50.082.jpg
68,14.409233_50.086761.jpg
69,14.410644_50.081297.jpg
70,14.410644_50.081297.jpg
71,15.918969_50.355472.jpg
72,16.409404_48.22765.jpg
73,16.409404_48.22765.jpg
74,16.409411_48.229488.jpg
